Month,Region,C1_Count,C1_Total_(hrs),C1_Mean_(min:sec),C1_90th_Percentile_(min:sec),C1T_Count,C1T_Total_(hrs),C1T_Mean_(min:sec),C1T_90th_Percentile_(min:sec),C2_Count,C2_Total_(hrs),C2_Mean_(min:sec),C2_90th_Percentile_(min:sec),C3_Count,C3_Total_(hrs),C3_Mean_(min:sec),C3_90th_Percentile_(min:sec),C4_Count,C4_Total_(hrs),C4_Mean_(min:sec),C4_90th_Percentile_(min:sec)
Sep-18,England,52568,6300,00:07:11,00:12:34,35591,6744,00:11:22,00:21:29,356904,128505,00:21:36,00:44:15,167708,173023,01:01:54,02:25:13,12421,18096,01:27:25,03:21:46
Sep-18,East Midlands,5834,723,00:07:26,00:13:20,3768,1108,00:17:39,00:42:28,33670,18359,00:32:43,01:08:48,11550,15170,01:18:48,03:11:45,175,158,00:54:08,02:27:50
Sep-18,East of England,6255,830,00:07:58,00:14:21,4240,901,00:12:45,00:23:04,37759,16169,00:25:42,00:52:48,12320,17755,01:26:28,03:30:40,2242,3685,01:38:37,04:07:38
Sep-18,Isle of Wight,68,12,00:10:19,00:22:03,45,9,00:11:53,00:22:03,900,283,00:18:50,00:40:33,871,642,00:44:12,02:35:02,231,352,01:31:28,03:48:30
Sep-18,London,9408,984,00:06:16,00:10:28,6973,1308,00:11:16,00:19:41,55125,17564,00:19:07,00:38:56,19432,16951,00:52:20,02:07:43,1063,1466,01:22:44,03:08:17
Sep-18,North East,2343,243,00:06:14,00:10:37,1530,198,00:07:46,00:13:39,17688,5973,00:20:16,00:41:18,8482,10732,01:15:55,03:01:53,373,494,01:19:31,03:41:53
Sep-18,North West,8005,1057,00:07:55,00:13:17,5774,1026,00:10:39,00:18:22,47386,17974,00:22:46,00:48:32,21617,24600,01:08:17,02:40:18,3346,5173,01:32:46,03:13:12
Sep-18,South Central,2487,300,00:07:14,00:13:10,1535,273,00:10:40,00:20:52,20891,5623,00:16:09,00:32:18,14415,12190,00:50:44,01:58:24,968,1199,01:14:21,02:47:13
Sep-18,South East Coast,3386,434,00:07:41,00:14:13,2102,365,00:10:24,00:19:10,28428,9121,00:19:15,00:36:01,19521,27815,01:25:30,03:12:40,774,1434,01:51:08,04:06:21
Sep-18,South Western,4353,496,00:06:50,00:12:41,2686,480,00:10:43,00:19:45,37725,16975,00:27:00,00:56:56,17462,20995,01:12:08,02:45:09,638,1619,02:32:16,05:49:39
Sep-18,West Midlands,5361,605,00:06:46,00:11:41,3380,440,00:07:48,00:14:05,41146,8209,00:11:58,00:21:49,30597,16782,00:32:55,01:12:42,1500,1250,00:50:00,02:05:38
Sep-18,Yorkshire,5068,617,00:07:18,00:12:28,3558,637,00:10:44,00:19:20,36186,12254,00:20:19,00:42:11,11441,9392,00:49:15,01:57:25,1111,1266,01:08:23,02:41:03
Oct-18,England,55383,6632,00:07:11,00:12:30,37926,7080,00:11:12,00:20:51,372315,131855,00:21:15,00:43:25,176292,177428,01:00:23,02:21:42,13090,18282,01:23:48,03:12:45
Oct-18,East Midlands,6020,765,00:07:37,00:13:31,3965,1142,00:17:17,00:40:13,34371,17059,00:29:47,01:01:52,12885,14807,01:08:57,02:45:50,198,195,00:59:02,02:16:13
Oct-18,East of England,6386,858,00:08:04,00:14:34,4258,889,00:12:31,00:22:58,40018,16689,00:25:01,00:51:06,13161,17352,01:19:06,03:08:47,2289,3489,01:31:27,03:47:12
Oct-18,Isle of Wight,71,15,00:12:52,00:26:20,44,12,00:16:35,00:38:41,799,205,00:15:25,00:42:51,603,630,01:02:44,02:59:04,74,58,00:46:48,03:12:21
Oct-18,London,10379,1057,00:06:07,00:10:10,7801,1427,00:10:58,00:18:48,56699,16526,00:17:29,00:35:08,21463,16938,00:47:21,01:52:13,1548,1794,01:09:31,02:36:42
Oct-18,North East,2497,260,00:06:14,00:10:34,1647,216,00:07:53,00:13:52,18200,6271,00:20:40,00:43:08,9578,11588,01:12:35,02:50:41,460,563,01:13:23,03:06:30
Oct-18,North West,8606,1151,00:08:01,00:13:20,6218,1105,00:10:40,00:18:12,51063,20965,00:24:38,00:52:43,22461,29367,01:18:27,03:06:33,3206,5025,01:34:03,03:19:48
Oct-18,South Central,2604,298,00:06:53,00:12:44,1588,268,00:10:08,00:18:53,22292,5845,00:15:44,00:31:10,14620,11385,00:46:43,01:48:34,1050,1229,01:10:13,02:37:46
Oct-18,South East Coast,3458,432,00:07:30,00:13:56,2199,390,00:10:38,00:19:58,29905,9672,00:19:24,00:36:36,19964,27147,01:21:35,03:10:21,781,1550,01:59:04,04:38:29
Oct-18,South Western,4554,533,00:07:02,00:12:41,2855,537,00:11:17,00:20:51,38797,17476,00:27:02,00:56:31,17883,21255,01:11:19,02:43:59,666,1553,02:19:56,05:09:16
Oct-18,West Midlands,5543,633,00:06:51,00:11:48,3581,469,00:07:51,00:13:43,42035,8451,00:12:04,00:21:55,32003,17568,00:32:56,01:12:43,1577,1361,00:51:48,02:03:55
Oct-18,Yorkshire,5265,629,00:07:10,00:12:23,3770,626,00:09:57,00:17:44,38136,12696,00:19:58,00:41:37,11671,9392,00:48:17,01:57:34,1241,1465,01:10:51,02:47:56
Nov-18,England,56484,6757,00:07:11,00:12:31,38556,7192,00:11:11,00:20:56,379545,138771,00:21:56,00:44:53,171217,180941,01:03:24,02:28:47,12619,18018,01:25:40,03:17:06
Nov-18,East Midlands,6307,827,00:07:52,00:13:57,4116,1223,00:17:50,00:40:45,34989,18090,00:31:01,01:04:42,11933,14745,01:14:08,02:55:19,200,214,01:04:04,02:45:58
Nov-18,East of England,6487,878,00:08:07,00:14:33,4327,921,00:12:46,00:23:15,40945,17629,00:25:50,00:52:23,13375,19152,01:25:55,03:27:20,2178,3703,01:42:00,04:11:47
Nov-18,Isle of Wight,101,20,00:11:49,00:20:54,68,17,00:14:55,00:25:08,886,275,00:18:37,00:36:51,683,661,00:58:01,02:24:22,83,159,01:55:14,04:11:56
Nov-18,London,11231,1175,00:06:17,00:10:29,8473,1558,00:11:02,00:19:04,57048,17866,00:18:47,00:38:14,20570,18034,00:52:36,02:06:05,1521,1936,01:16:23,02:51:50
Nov-18,North East,2394,248,00:06:13,00:10:47,1579,203,00:07:43,00:13:36,19162,7568,00:23:42,00:48:44,8441,12188,01:26:38,03:19:11,373,522,01:24:03,03:37:55
Nov-18,North West,8360,1073,00:07:42,00:12:51,5966,1036,00:10:25,00:17:58,50763,19663,00:23:14,00:49:45,21207,24131,01:08:16,02:43:14,3233,4743,01:28:01,03:09:02
Nov-18,South Central,2727,315,00:06:56,00:12:49,1644,275,00:10:03,00:18:47,23384,6599,00:16:56,00:34:05,14099,12166,00:51:47,02:01:21,928,1154,01:14:36,02:50:27
Nov-18,South East Coast,3516,441,00:07:32,00:13:59,2175,364,00:10:02,00:18:51,31012,10033,00:19:25,00:36:43,20217,28023,01:23:10,03:13:53,787,1460,01:51:20,04:13:21
Nov-18,South Western,4439,515,00:06:58,00:12:44,2786,535,00:11:31,00:21:26,39948,18759,00:28:11,00:59:15,17515,21684,01:14:17,02:51:58,636,1282,02:00:57,04:17:40
Nov-18,West Midlands,5801,665,00:06:53,00:11:50,3748,488,00:07:49,00:13:57,42819,9113,00:12:46,00:23:29,31519,20644,00:39:18,01:27:19,1377,1327,00:57:49,02:22:26
Nov-18,Yorkshire,5121,600,00:07:02,00:12:13,3674,571,00:09:20,00:17:08,38589,13176,00:20:29,00:42:36,11658,9514,00:48:58,01:58:25,1303,1517,01:09:52,02:43:41
Dec-18,England,60238,7132,00:07:06,00:12:25,41373,7554,00:10:57,00:20:32,409106,152576,00:22:23,00:46:22,175117,193953,01:06:27,02:37:04,15053,21129,01:24:13,03:09:31
Dec-18,East Midlands,6402,827,00:07:45,00:13:50,4238,1238,00:17:32,00:41:10,40123,20953,00:31:20,01:06:31,10552,16159,01:31:53,03:39:09,201,222,01:06:19,02:50:27
Dec-18,East of England,6998,870,00:07:27,00:13:39,4686,899,00:11:31,00:20:51,43994,16576,00:22:36,00:46:16,14809,16413,01:06:30,02:38:40,2343,2952,01:15:36,03:06:17
Dec-18,Isle of Wight,98,17,00:10:29,00:19:19,64,13,00:12:12,00:21:16,833,250,00:18:01,00:35:09,818,837,01:01:26,02:22:13,84,145,01:43:37,03:56:11
Dec-18,London,12148,1275,00:06:18,00:10:29,9261,1706,00:11:03,00:19:11,60714,20936,00:20:41,00:43:25,20524,20715,01:00:34,02:28:11,1635,2061,01:15:37,02:52:12
Dec-18,North East,2654,287,00:06:29,00:11:17,1658,213,00:07:43,00:13:56,20918,9270,00:26:35,00:54:50,8317,13989,01:40:55,03:53:19,463,672,01:27:05,03:44:09
Dec-18,North West,9273,1188,00:07:41,00:12:55,6733,1173,00:10:27,00:17:51,53144,22003,00:24:50,00:53:42,21788,25788,01:11:01,02:50:33,4305,7031,01:38:00,03:24:46
Dec-18,South Central,2710,318,00:07:03,00:12:48,1670,282,00:10:08,00:19:09,24924,7236,00:17:25,00:35:21,14568,13463,00:55:27,02:11:53,859,1086,01:15:50,02:57:23
Dec-18,South East Coast,3938,510,00:07:46,00:14:13,2473,423,00:10:16,00:19:10,33928,11563,00:20:27,00:39:01,19316,33179,01:43:04,03:58:17,725,1592,02:11:46,04:45:04
Dec-18,South Western,4488,510,00:06:49,00:12:18,2773,510,00:11:02,00:20:41,42924,19599,00:27:24,00:58:08,18884,22061,01:10:06,02:43:07,1371,2304,01:40:51,03:40:21
Dec-18,West Midlands,5861,664,00:06:48,00:11:49,3782,489,00:07:45,00:13:33,45875,9545,00:12:29,00:22:57,33227,20063,00:36:14,01:22:57,1563,1342,00:51:31,02:00:54
Dec-18,Yorkshire,5668,667,00:07:03,00:12:15,4035,608,00:09:02,00:16:33,41729,14645,00:21:03,00:44:17,12314,11285,00:54:59,02:15:22,1504,1721,01:08:40,02:43:07
Jan-19,England,60108,7139,00:07:08,00:12:20,41161,7727,00:11:16,00:20:58,410108,156981,00:22:58,00:47:39,171717,193778,01:07:43,02:40:09,14589,20848,01:25:44,03:16:03
Jan-19,East Midlands,6288,804,00:07:40,00:13:35,4102,1239,00:18:07,00:43:21,39355,20248,00:30:52,01:05:48,10633,15413,01:26:58,03:29:58,202,175,00:51:58,02:21:54
Jan-19,East of England,7205,917,00:07:38,00:13:51,4738,949,00:12:01,00:21:17,44969,18715,00:24:58,00:51:32,13694,17645,01:17:19,03:07:31,2202,2826,01:16:59,03:14:45
Jan-19,Isle of Wight,111,19,00:10:10,00:19:41,85,19,00:13:30,00:24:12,889,310,00:20:57,00:39:10,707,766,01:04:58,02:33:17,83,156,01:52:38,04:29:25
Jan-19,London,12441,1316,00:06:21,00:10:30,9478,1843,00:11:40,00:20:12,60485,21776,00:21:36,00:46:09,19972,21768,01:05:24,02:41:49,1610,1948,01:12:35,02:51:25
Jan-19,North East,2749,288,00:06:18,00:10:54,1802,233,00:07:46,00:13:24,21363,9579,00:26:54,00:56:20,8033,13227,01:38:48,04:02:36,414,611,01:28:32,03:45:38
Jan-19,North West,9571,1252,00:07:51,00:13:06,6835,1248,00:10:57,00:18:36,53757,23653,00:26:24,00:56:58,20506,26521,01:17:36,03:04:07,3992,6774,01:41:49,03:39:26
Jan-19,South Central,2605,293,00:06:45,00:12:00,1638,264,00:09:41,00:17:32,25106,6888,00:16:28,00:32:37,15303,12672,00:49:41,01:55:53,908,1140,01:15:20,02:46:45
Jan-19,South East Coast,3794,504,00:07:59,00:14:15,2399,407,00:10:10,00:19:01,34836,12182,00:20:59,00:39:59,19125,32604,01:42:17,03:55:08,761,1636,02:09:01,04:27:24
Jan-19,South Western,4256,478,00:06:44,00:12:01,2651,483,00:10:56,00:19:50,42606,20828,00:29:20,01:01:45,18352,23949,01:18:18,02:58:23,1628,2819,01:43:54,03:52:21
Jan-19,West Midlands,5690,639,00:06:44,00:11:34,3665,476,00:07:47,00:13:59,45908,9318,00:12:11,00:22:09,33165,19507,00:35:17,01:19:50,1582,1362,00:51:40,02:05:52
Jan-19,Yorkshire,5398,628,00:06:59,00:12:08,3768,566,00:09:01,00:16:13,40834,13484,00:19:49,00:41:16,12227,9706,00:47:38,01:58:10,1207,1401,01:09:38,02:47:48
Feb-19,England,54648,6635,00:07:17,00:12:41,37587,7133,00:11:23,00:20:58,365809,144019,00:23:37,00:48:57,152107,183390,01:12:20,02:51:17,12903,19324,01:29:52,03:20:49
Feb-19,East Midlands,5449,695,00:07:39,00:13:42,3570,1023,00:17:11,00:39:21,34163,17334,00:30:27,01:04:45,10804,13582,01:15:26,03:06:17,442,574,01:17:56,02:50:32
Feb-19,East of England,6707,875,00:07:50,00:14:15,4410,946,00:12:52,00:22:56,40400,17527,00:26:02,00:53:47,11050,16012,01:26:57,03:31:21,1798,2435,01:21:15,03:25:27
Feb-19,Isle of Wight,78,14,00:10:25,00:17:26,53,11,00:12:33,00:24:35,840,296,00:21:10,00:43:52,672,692,01:01:49,02:26:24,76,128,01:40:49,03:12:39
Feb-19,London,11499,1269,00:06:37,00:10:59,8794,1733,00:11:50,00:20:31,54833,20426,00:22:21,00:46:59,17726,20580,01:09:40,02:53:07,1459,2083,01:25:39,03:24:43
Feb-19,North East,2385,246,00:06:12,00:10:37,1577,202,00:07:41,00:13:33,18417,8040,00:26:12,00:54:47,7359,11783,01:36:04,03:57:01,369,477,01:17:35,02:56:31
Feb-19,North West,8763,1172,00:08:01,00:13:29,6281,1154,00:11:01,00:18:35,47234,21261,00:27:00,00:57:59,18713,24403,01:18:15,03:03:53,3594,6199,01:43:29,03:31:23
Feb-19,South Central,2424,309,00:07:39,00:13:48,1511,277,00:11:00,00:20:49,22857,7616,00:20:00,00:40:41,12913,14696,01:08:17,02:39:21,725,1233,01:42:03,04:06:14
Feb-19,South East Coast,3399,443,00:07:50,00:14:24,2156,372,00:10:21,00:19:25,31361,11770,00:22:31,00:43:19,15745,32664,02:04:28,04:46:01,584,1478,02:31:53,05:15:02
Feb-19,South Western,3938,461,00:07:01,00:12:48,2440,463,00:11:23,00:20:49,37741,18898,00:30:03,01:03:33,16811,21616,01:17:09,02:58:05,1409,2408,01:42:33,03:40:58
Feb-19,West Midlands,5151,581,00:06:46,00:11:42,3324,434,00:07:50,00:13:54,41426,8650,00:12:32,00:22:49,29761,19034,00:38:22,01:27:31,1356,1156,00:51:10,02:03:30
Feb-19,Yorkshire,4855,570,00:07:03,00:12:05,3471,519,00:08:58,00:16:10,36537,12200,00:20:02,00:41:50,10553,8327,00:47:21,01:53:11,1091,1153,01:03:23,02:33:03
Mar-19,England,59560,6943,00:07:00,00:12:11,40717,7314,00:10:47,00:19:55,390841,138374,00:21:15,00:43:12,174735,178803,01:01:24,02:25:11,15247,20453,01:20:29,03:03:39
Mar-19,East Midlands,6251,780,00:07:29,00:13:29,4101,1108,00:16:13,00:36:14,36529,16144,00:26:31,00:54:33,12608,14076,01:06:59,02:44:40,765,1047,01:22:05,02:53:37
