Month,AVG_C1_Count,AVG_C1T_Count,AVG_C2_Count,AVG_C3_Count,AVG_C4_Count
Sep-18,8761.0,5931.0,59484.0,27951.0,2070.0
Oct-18,9230.0,6321.0,62052.0,29382.0,2181.0
Nov-18,9414.0,6426.0,63257.0,28536.0,2103.0
Dec-18,10039.0,6895.0,68184.0,29186.0,2508.0
Jan-19,10018.0,6860.0,68351.0,28619.0,2431.0
Feb-19,9108.0,6264.0,60968.0,25351.0,2150.0
Mar-19,9926.0,6786.0,65140.0,29122.0,2541.0
Apr-19,9469.0,6435.0,63863.0,28183.0,2455.0
May-19,9645.0,6576.0,64350.0,29025.0,2813.0
Jun-19,9634.0,6557.0,62880.0,27566.0,2595.0
Jul-19,10297.0,6932.0,65796.0,28917.0,2694.0
Aug-19,9599.0,6417.0,63887.0,28938.0,2764.0
